"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Jayden Reed","GB","11","WR","78","10.4","10","70","1","61","755","6","1"
"Dalton Kincaid","BUF","7","TE","79","10.4","0","0","0","60","830","6","1"
"Travis Kelce","KC","5","TE","80","10.4","0","0","0","69","733","6","1"
"George Kittle","SF","8","TE","81","10.4","0","0","0","54","827","7","0"
"Chris Godwin Jr.","TB","10","WR","82","10.3","0","0","0","71","781","4","0"
"Romeo Doubs","NE","11","WR","83","10.3","0","0","0","60","852","5","0"
"Jordan Addison","MIN","6","WR","84","10.3","3","45","1","55","770","6","0"
"Quentin Johnston","LAC","7","WR","85","10.2","2","10","0","52","750","8","1"
"Jerry Jeudy","CLE","11","WR","86","10.2","0","0","0","63","838","5","1"
"RJ Harvey","DEN","10","RB","87","10.2","135","565","6","42","300","2","1"
"Rhamondre Stevenson","NE","11","RB","88","10.0","160","728","7","32","250","1","2"
"Jake Ferguson","DAL","14","TE","89","10.0","0","0","0","73","633","6","1"
"Rashid Shaheed","SEA","11","WR","90","10.0","15","85","1","52","780","5","0"
"Mark Andrews","BAL","13","TE","91","10.0","0","0","0","60","648","8","0"
"Jakobi Meyers","JAX","7","WR","92","9.8","4","16","0","67","735","5","1"
"Tony Pollard","TEN","9","RB","93","9.8","185","790","6","30","207","1","1"
"Brenton Strange","JAX","7","TE","94","9.8","0","0","0","57","645","8","0"
"Oronde Gadsden","LAC","7","TE","95","9.6","0","0","0","56","691","7","0"
"Ricky Pearsall","SF","8","WR","96","9.6","7","50","0","54","711","5","0"
"Xavier Worthy","KC","5","WR","97","9.6","15","115","1","46","745","5","1"
"Michael Wilson","ARI","14","WR","98","9.6","0","0","0","62","759","4","0"
"Aaron Jones Sr.","MIN","6","RB","99","9.4","165","693","5","36","245","1","2"
"KC Concepcion","CLE","11","WR","100","9.4","8","59","0","58","692","4","1"
"Khalil Shakir","BUF","7","WR","101","9.3","2","10","0","66","665","5","1"
"Kyle Monangai","CHI","10","RB","102","9.3","165","805","6","22","185","1","1"
"Omar Cooper Jr.","NYJ","13","WR","103","9.2","1","4","0","63","662","5","0"
"Rachaad White","WAS","7","RB","104","9.2","114","442","3","48","360","2","1"
"Matthew Golden","GB","11","WR","105","8.8","7","40","0","52","660","5","0"
"Chig Okonkwo","WAS","7","TE","106","8.6","0","0","0","58","590","5","0"
"Antonio Williams","WAS","7","WR","107","8.6","4","25","0","53","645","5","0"
"Ted Hurst","TB","10","WR","108","8.6","0","0","0","44","695","6","0"
"Cooper Kupp","SEA","11","WR","109","8.5","0","0","0","56","658","4","0"
"Jayden Higgins","HOU","8","WR","110","8.4","0","0","0","49","610","6","0"
"Rico Dowdle","PIT","9","RB","111","8.3","150","660","6","25","163","1","1"
"Dalton Schultz","HOU","8","TE","112","8.3","0","0","0","62","575","4","0"
"T.J. Hockenson","MIN","6","TE","113","8.2","0","0","0","59","561","4","0"
"Kenny Gainwell","TB","10","RB","114","8.2","105","452","3","40","264","2","1"
"Hunter Henry","NE","11","TE","115","8.2","0","0","0","51","612","5","0"
"De'Zhaun Stribling","SF","8","WR","116","8.1","0","0","0","50","645","4","0"
"Zach Charbonnet","SEA","11","RB","117","8.1","135","547","5","27","189","1","0"
"Dallas Goedert","PHI","10","TE","118","8.0","0","0","0","54","518","5","0"
"Adonai Mitchell","NYJ","13","WR","119","8.0","0","0","0","49","662","3","0"
"Kenyon Sadiq","NYJ","13","TE","120","7.9","0","0","0","54","540","5","0"
"Jalen Coker","CAR","5","WR","121","7.9","1","5","0","54","580","4","1"
"Darnell Mooney","NYG","8","WR","122","7.9","1","4","0","45","639","4","0"
"Isaiah Likely","NYG","8","TE","123","7.9","0","0","0","48","552","5","0"
"Calvin Ridley","TEN","9","WR","124","7.8","0","0","0","45","671","3","0"
"Tyjae Spears","TEN","9","RB","125","7.7","90","385","2","43","310","2","1"
"Jack Bech","LV","13","WR","126","7.6","3","15","0","49","585","3","0"
"Jauan Jennings","MIN","6","WR","127","7.5","0","0","0","48","547","4","0"
"Jacory Croskey-Merritt","WAS","7","RB","128","7.5","153","704","7","10","75","0","2"
"Mike Gesicki","CIN","6","TE","129","7.4","0","0","0","50","550","4","0"
"Jonah Coleman","DEN","10","RB","130","7.4","95","395","6","27","180","1","0"
"Alvin Kamara","NO","8","RB","131","7.3","105","415","3","37","259","1","2"
"Jordan Mason","MIN","6","RB","132","7.2","150","713","6","11","55","0","1"
"Malik Washington","MIA","6","WR","133","7.2","16","90","1","56","430","2","1"
"Eli Stowers","PHI","10","TE","134","7.2","0","0","0","44","546","4","0"
"Pat Freiermuth","PIT","9","TE","135","7.2","0","0","0","49","460","5","0"
"Tre Tucker","LV","13","WR","136","7.2","7","45","0","43","560","3","1"
"Tyrone Tracy Jr.","NYG","8","RB","137","7.1","110","462","4","27","211","1","2"
"Gunnar Helm","TEN","9","TE","138","7.1","0","0","0","48","480","4","0"
"Blake Corum","LAR","11","RB","139","7.0","142","680","6","11","65","1","1"
"Woody Marks","HOU","8","RB","140","7.0","115","470","3","27","235","1","1"
"Germie Bernard","PIT","9","WR","141","7.0","7","42","0","45","504","3","0"
"J.K. Dobbins","DEN","10","RB","142","7.0","150","725","5","11","55","0","1"
"Keon Coleman","BUF","7","WR","143","6.9","0","0","0","39","505","5","1"
"Brian Robinson Jr.","ATL","11","RB","144","6.8","119","494","7","15","81","1","1"
"Isiah Pacheco","DET","6","RB","145","6.8","120","500","6","18","105","1","1"
"Cade Otton","TB","10","TE","146","6.8","0","0","0","46","451","4","0"
"Caleb Douglas","MIA","6","WR","147","6.8","0","0","0","42","560","3","0"
"Jonathon Brooks","CAR","5","RB","148","6.4","135","572","4","16","120","0","1"
"Colby Parkinson","LAR","11","TE","149","6.4","0","0","0","42","425","5","1"
"Andrei Iosivas","CIN","6","WR","150","6.4","3","15","0","35","455","5","0"
"Dylan Sampson","CLE","11","RB","151","6.4","127","553","3","19","147","1","1"
"Tre' Harris","LAC","7","WR","152","6.3","1","5","0","41","450","4","0"
"Chris Rodriguez Jr.","JAX","7","RB","153","6.3","132","554","6","9","70","0","1"
"Jahan Dotson","ATL","11","WR","154","6.2","0","0","0","41","500","3","0"
"Rashod Bateman","BAL","13","WR","155","6.2","0","0","0","35","473","4","0"
"Travis Hunter","JAX","7","WR","156","6.2","4","22","1","39","430","3","0"
"DeMario Douglas","NE","11","WR","157","6.2","7","30","0","35","490","3","0"
"David Njoku","LAC","7","TE","158","6.2","0","0","0","41","397","4","0"
"Cole Kmet","CHI","10","TE","159","6.1","0","0","0","39","370","5","0"
"Chris Bell","MIA","6","WR","160","5.9","0","0","0","34","500","3","0"
"Zachariah Branch","ATL","11","WR","161","5.8","10","70","0","38","403","2","0"
"Emmett Johnson","KC","5","RB","162","5.7","85","383","3","21","164","1","1"
"Kyle Williams","NE","11","WR","163","5.7","5","20","1","28","462","3","0"
"Ryan Flournoy","DAL","14","WR","164","5.7","0","0","0","34","440","4","1"
"Juwan Johnson","NO","8","TE","165","5.7","0","0","0","40","400","3","0"
"Jalen McMillan","TB","10","WR","166","5.7","2","15","0","33","446","3","0"
"Kimani Vidal","LAC","7","RB","167","5.7","92","405","3","20","150","1","0"
"Jordan James","SF","8","RB","168","5.6","115","535","4","9","70","0","0"
"Nicholas Singleton","TEN","9","RB","169","5.5","105","462","5","10","75","1","0"
"Tyler Allgeier","ARI","14","RB","170","5.5","110","446","4","13","94","0","0"
"Terrance Ferguson","LAR","11","TE","171","5.4","0","0","0","27","415","4","0"
"Mike Washington Jr.","LV","13","RB","172","5.4","125","415","3","22","125","1","1"
"Tyquan Thornton","KC","5","WR","173","5.4","5","25","0","20","450","4","0"
"Evan Engram","DEN","10","TE","174","5.3","0","0","0","41","375","2","0"
