"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Jordan Addison","MIN","6","WR","79","10.3","8","49","1","55","779","6","1"
"Harold Fannin Jr.","CLE","11","TE","80","10.3","5","10","1","70","685","6","1"
"Courtland Sutton","DEN","10","WR","81","10.1","1","3","0","60","809","5","1"
"Khalil Shakir","BUF","7","WR","82","10.1","1","5","0","66","753","5","1"
"Josh Downs","IND","13","WR","83","10.1","4","17","0","79","753","3","1"
"Deebo Samuel Sr.","SF","8","WR","84","10.1","40","210","1","60","620","4","1"
"Sam LaPorta","DET","6","TE","85","10.0","0","0","0","68","683","6","0"
"Romeo Doubs","NE","11","WR","86","9.9","3","17","0","60","794","5","1"
"Jake Ferguson","DAL","14","TE","87","9.9","2","2","0","76","558","6","1"
"Tyjae Spears","TEN","9","RB","88","9.9","149","648","4","45","306","1","1"
"Makai Lemon","PHI","10","WR","89","9.9","11","69","0","55","746","6","1"
"Jordan Mason","MIN","6","RB","90","9.8","209","969","6","23","84","1","2"
"Jadarian Price","SEA","11","RB","91","9.7","200","816","8","13","152","2","3"
"Dallas Goedert","PHI","10","TE","92","9.7","2","7","0","62","650","6","1"
"Dalton Schultz","HOU","8","TE","93","9.4","1","4","0","72","672","4","1"
"Tyrone Tracy Jr.","NYG","8","RB","94","9.3","176","765","4","30","212","2","2"
"Xavier Worthy","KC","5","WR","95","9.3","18","105","1","52","680","4","1"
"Rachaad White","WAS","7","RB","96","9.3","155","650","5","38","210","1","1"
"Matthew Golden","GB","11","WR","97","9.3","10","51","0","54","748","4","1"
"Blake Corum","LAR","11","RB","98","9.3","178","801","7","24","149","0","2"
"Chris Godwin Jr.","TB","10","WR","99","9.2","0","0","0","65","680","4","0"
"Kyle Monangai","CHI","10","RB","100","9.2","174","837","5","22","197","0","0"
"Tony Pollard","TEN","9","RB","101","9.1","198","846","4","27","171","1","2"
"Travis Hunter","JAX","7","WR","102","9.0","6","34","1","50","680","5","1"
"KC Concepcion","CLE","11","WR","103","8.9","0","0","0","62","774","2","0"
"Jayden Reed","GB","11","WR","104","8.9","18","101","0","54","643","4","1"
"Travis Kelce","KC","5","TE","105","8.9","1","1","0","66","616","4","0"
"Juwan Johnson","NO","8","TE","106","8.7","0","0","0","60","690","4","1"
