name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles_lost
Travis Kelce,KC,TE,101.8,101.8,177.0,139.7,8.2,176.6,10.4,0,0,0,0,0,0,0,0,103.3,73.8,769.6,4.5,0.5
Marvin Harrison Jr.,ARI,WR,92.0,92.0,194.0,159.0,9.4,193.4,11.4,0,0,0,0,0,0,0,0,126.0,68.8,954.6,5.1,0.6
Mike Evans,SF,WR,96.4,96.4,182.8,153.6,9.0,182.1,10.7,0,0,0,0,0,0,0,0,101.3,57.1,904.9,5.9,0.4
Bo Nix,DEN,QB,91.1,91.1,295.2,291.3,17.1,291.3,17.1,564.7,363.8,3873.1,26.4,11.1,82.3,355.6,3.9,0,0,0,0,3.1
Tony Pollard,TEN,RB,90.5,90.5,189.6,174.5,10.3,189.3,11.1,0,0,0,0,0,247.3,1076.0,5.6,38.6,29.7,180.9,0.5,1.3
Trevor Lawrence,JAX,QB,95.7,95.7,287.4,284.8,16.8,284.8,16.8,560.3,347.1,3928.2,24.8,13.0,73.5,334.3,4.8,0,0,0,0,3.8
Tucker Kraft,GB,TE,100.0,100.0,171.6,137.4,8.1,171.3,10.1,0,0,0,0,0,2.2,8.5,0.1,94.3,67.7,775.2,4.2,0.4
Justin Herbert,LAC,QB,109.2,109.2,282.7,281.1,16.5,281.1,16.5,527.7,345.3,3845.9,25.5,11.0,78.3,405.9,2.3,0,0,0,0,3.6
Jake Ferguson,DAL,TE,112.3,112.3,167.0,129.9,7.6,166.5,9.8,0,0,0,0,0,0,0,0,96.1,73.2,599.1,5.8,0.8
Patrick Mahomes,KC,QB,107.9,107.9,289.7,286.9,16.9,286.9,16.9,551.2,358.0,3992.6,26.1,11.7,53.1,326.4,3.2,0,0,0,0,3.0
Brock Purdy,SF,QB,104.8,104.8,292.5,289.2,17.0,289.2,17.0,529.6,352.0,4180.8,27.1,13.9,65.4,277.3,3.5,0,0,0,0,3.7
Alec Pierce,IND,WR,97.5,97.5,203.3,168.7,9.9,202.4,11.9,0,0,0,0,0,0,0,0,115.2,67.4,1026.0,5.6,0.6
Jaylen Warren,PIT,RB,104.6,104.6,191.1,167.5,9.9,190.6,11.2,0,0,0,0,0,180.0,789.6,4.5,56.7,46.1,318.9,1.5,0.9
Christian Watson,GB,WR,101.9,101.9,185.8,157.8,9.3,185.3,10.9,0,0,0,0,0,2.2,13.1,0.1,94.3,54.9,867.8,7.1,0.5
Chuba Hubbard,CAR,RB,114.6,114.6,182.7,161.1,9.5,181.7,10.7,0,0,0,0,0,193.0,775.5,4.2,52.2,41.1,304.0,1.5,0.9
Jordyn Tyson,NO,WR,98.7,98.7,188.5,154.2,9.1,187.9,11.1,0,0,0,0,0,0,0,0,109.5,67.5,917.6,5.0,0.7
Rico Dowdle,PIT,RB,110.5,110.5,185.5,170.4,10.0,185.0,10.9,0,0,0,0,0,222.8,973.2,5.5,39.7,29.2,210.0,1.1,0.9
Brian Thomas Jr.,JAX,WR,105.9,105.9,176.4,147.4,8.7,175.9,10.3,0,0,0,0,0,4.0,23.1,0.2,102.1,57.1,860.0,5.0,0.3
Parker Washington,JAX,WR,102.9,102.9,187.0,151.7,8.9,183.5,10.8,0,0,0,0,0,8.0,38.9,0.3,107.7,63.7,849.8,5.2,0.8
Michael Wilson,ARI,WR,105.7,105.7,176.7,141.0,8.3,176.3,10.4,0,0,0,0,0,0,0,0,114.6,70.6,860.8,3.4,0.4
Rhamondre Stevenson,NE,RB,112.5,112.5,190.9,171.0,10.1,190.2,11.2,0,0,0,0,0,169.5,721.7,6.6,46.7,38.3,313.4,1.9,1.1
Matthew Golden,GB,WR,107.2,107.2,185.6,151.0,8.9,184.4,10.8,0,0,0,0,0,4.5,24.9,0.2,104.8,66.8,871.9,4.7,0.7
Makai Lemon,PHI,WR,117.0,117.0,173.2,143.1,8.4,172.4,10.1,0,0,0,0,0,0,0,0,93.4,58.5,836.3,5.2,0.6
Aaron Jones Sr.,MIN,RB,123.3,123.3,188.8,164.5,9.7,188.0,11.1,0,0,0,0,0,170.1,740.5,3.7,60.8,47.0,344.2,2.1,1.1
Jakobi Meyers,JAX,WR,117.3,117.3,181.7,146.3,8.6,181.2,10.7,0,0,0,0,0,6.0,31.9,0.3,107.7,69.8,766.3,5.2,0.6
Wan'Dale Robinson,TEN,WR,117.3,117.3,174.1,134.6,7.9,174.0,10.2,0,0,0,0,0,4.1,22.4,0.1,115.8,78.8,817.3,1.9,0.6
J.K. Dobbins,DEN,RB,124.2,124.2,171.6,162.1,9.5,170.7,10.0,0,0,0,0,0,212.7,994.3,6.8,22.6,17.1,104.8,0.7,0.5
Kenny Gainwell,TB,RB,123.0,123.0,178.2,150.9,8.9,177.0,10.4,0,0,0,0,0,117.9,522.5,4.6,64.0,52.1,342.5,2.0,0.8
Mark Andrews,BAL,TE,122.9,122.9,169.3,139.8,8.2,168.8,9.9,0,0,0,0,0,9.8,34.7,0.7,83.9,58.0,617.1,7.1,0.5
Isaiah Likely,NYG,TE,129.5,129.5,156.3,124.0,7.3,155.8,9.2,0,0,0,0,0,0,0,0,86.1,63.7,684.2,4.1,0.5
RJ Harvey,DEN,RB,129.3,129.3,167.0,141.6,8.3,166.0,9.8,0,0,0,0,0,106.4,431.2,3.9,62.1,48.8,365.8,2.6,0.5
Jordan Addison,MIN,WR,123.2,123.2,170.5,139.6,8.2,169.9,10.0,0,0,0,0,0,2.0,14.4,0.1,99.6,60.5,770.3,5.2,0.4
Rachaad White,WSH,RB,127.8,127.8,173.4,150.0,8.8,172.5,10.1,0,0,0,0,0,134.7,566.7,5.1,51.6,44.9,298.2,2.0,0.6
Kyle Monangai,CHI,RB,133.0,133.0,176.4,162.6,9.6,175.5,10.3,0,0,0,0,0,192.0,825.8,6.5,36.0,25.7,215.1,1.3,0.4
Josh Downs,IND,WR,123.5,123.5,173.4,133.0,7.8,172.4,10.1,0,0,0,0,0,2.1,10.8,0.1,110.0,78.8,760.1,2.9,0.6
Blake Corum,LAR,RB,140.3,140.3,159.4,150.6,8.9,159.0,9.4,0,0,0,0,0,182.0,837.5,7.3,22.5,16.7,117.1,0.6,0.4
Jonathon Brooks,CAR,RB,129.5,129.5,162.7,145.6,8.6,161.9,9.5,0,0,0,0,0,176.6,741.6,4.0,41.8,32.6,249.9,1.3,0.9
Xavier Worthy,KC,WR,136.7,136.7,172.8,144.5,8.5,172.3,10.1,0,0,0,0,0,12.4,75.9,0.6,92.4,55.5,787.8,4.6,0.3
Chris Godwin Jr.,TB,WR,146.8,146.8,157.7,126.7,7.5,156.9,9.2,0,0,0,0,0,0,0,0,90.7,60.4,701.5,4.6,0.6
Khalil Shakir,BUF,WR,136.7,136.7,171.2,134.6,7.9,169.6,10.0,0,0,0,0,0,2.3,12.5,0.1,92.1,70.1,765.1,3.7,0.6
Quentin Johnston,LAC,WR,144.0,144.0,164.8,138.1,8.1,164.5,9.7,0,0,0,0,0,2.1,10.8,0.1,90.3,52.8,773.8,5.6,0.4
Travis Hunter,JAX,WR,116.6,116.6,113.0,90.8,5.3,111.7,6.6,0,0,0,0,0,2.0,10.8,0.1,68.0,41.6,496.1,3.3,0.4
Kenyon Sadiq,NYJ,TE,135.8,135.8,162.4,127.7,7.5,161.4,9.5,0,0,0,0,0,0,0,0,90.3,67.2,692.2,4.3,0.5
Jacory Croskey-Merritt,WSH,RB,142.2,142.2,151.3,144.3,8.5,150.3,8.8,0,0,0,0,0,195.9,846.2,7.4,15.5,12.0,88.8,0.5,1.5
T.J. Hockenson,MIN,TE,133.6,133.6,158.2,119.0,7.0,157.9,9.3,0,0,0,0,0,0,0,0,99.6,77.7,639.4,2.8,0.3
Jayden Reed,GB,WR,140.5,140.5,170.7,138.4,8.1,170.1,10.0,0,0,0,0,0,9.0,64.9,0.4,89.0,63.4,728.7,4.4,0.8
KC Concepcion,CLE,WR,150.2,150.2,162.4,130.7,7.7,161.4,9.5,0,0,0,0,0,6.4,34.9,0.2,98.3,61.3,770.5,3.3,0.7
Romeo Doubs,NE,WR,151.5,151.5,160.5,132.0,7.8,160.0,9.4,0,0,0,0,0,0,0,0,83.0,56.0,714.4,5.6,0.6
Zach Charbonnet,SEA,RB,149.9,149.9,134.0,123.4,7.3,133.6,7.9,0,0,0,0,0,136.6,555.1,6.9,26.2,20.3,145.1,0.4,0.3
Woody Marks,HOU,RB,151.4,151.4,127.6,114.6,6.7,126.6,7.4,0,0,0,0,0,142.9,579.2,3.0,32.9,24.1,201.0,1.3,0.6
Dalton Kincaid,BUF,TE,136.7,136.7,155.6,125.2,7.4,154.8,9.1,0,0,0,0,0,0,0,0,81.8,59.3,697.6,4.5,0.5
Deebo Samuel Sr.,SF,WR,135.1,135.1,171.6,143.1,8.4,170.7,10.0,0,0,0,0,0,22.1,109.4,1.1,79.6,55.1,734.6,4.3,0.8
Jared Goff,DET,QB,139.4,139.4,269.0,267.5,15.7,267.5,15.7,544.1,371.5,4218.6,29.1,9.9,27.2,49.6,0.7,0,0,0,0,3.4
Stefon Diggs,WSH,WR,148.9,148.9,164.0,127.9,7.5,163.5,9.6,0,0,0,0,0,0,0,0,92.9,71.1,726.9,3.4,0.5
Hunter Henry,NE,TE,142.9,142.9,149.8,121.5,7.1,149.4,8.8,0,0,0,0,0,0,0,0,77.8,55.8,628.1,5.2,0.2
Kyler Murray,MIN,QB,150.9,150.9,251.0,248.2,14.6,248.2,14.6,490.1,330.6,3347.1,19.5,9.9,70.9,443.8,3.2,0,0,0,0,3.5
Alvin Kamara,NO,RB,156.6,156.6,126.9,108.9,6.4,126.5,7.4,0,0,0,0,0,124.6,499.6,2.3,43.8,35.3,232.5,0.9,0.6
Jordan Mason,MIN,RB,157.1,157.1,130.0,122.6,7.2,129.3,7.6,0,0,0,0,0,162.0,749.3,5.4,16.6,13.4,83.4,0.3,1.0
Isiah Pacheco,DET,RB,157.8,157.8,123.7,114.9,6.8,123.5,7.3,0,0,0,0,0,148.6,640.1,4.5,21.5,17.2,114.3,0.8,0.5
Baker Mayfield,TB,QB,148.7,148.7,265.6,260.8,15.3,260.8,15.3,526.5,338.7,3827.8,24.7,11.6,54.1,323.6,1.4,0,0,0,0,4.4
Tyler Shough,NO,QB,154.9,154.9,265.5,262.8,15.5,262.8,15.5,548.0,356.4,3891.1,20.4,11.1,65.6,284.7,4.3,0,0,0,0,3.3
Jalen Coker,CAR,WR,160.1,160.1,149.2,118.2,7.0,148.8,8.8,0,0,0,0,0,0,0,0,88.8,61.2,697.9,3.2,0.6
Rashid Shaheed,SEA,WR,156.9,156.9,144.5,117.6,6.9,139.0,8.2,0,0,0,0,0,13.8,86.7,0.5,70.6,42.8,646.6,3.5,0.6
Ricky Pearsall,SF,WR,170.3,170.3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayden Higgins,HOU,WR,159.1,159.1,141.3,113.6,6.7,140.8,8.3,0,0,0,0,0,0,0,0,87.8,54.5,666.5,3.4,0.4
Tyjae Spears,TEN,RB,168.5,168.5,149.1,124.2,7.3,149.0,8.8,0,0,0,0,0,97.3,410.9,2.7,60.7,49.6,333.4,1.6,0.4
Jerry Jeudy,CLE,WR,161.4,161.4,138.0,111.9,6.6,137.6,8.1,0,0,0,0,0,0,0,0,93.1,51.4,708.5,2.7,0.5
Daniel Jones,IND,QB,160.0,160.0,266.8,262.9,15.5,262.9,15.5,526.6,348.6,3742.0,19.6,11.1,73.0,307.4,5.9,0,0,0,0,4.5
Jordan Love,GB,QB,159.2,159.2,259.6,257.8,15.2,257.8,15.2,531.1,342.0,3994.8,25.1,10.7,50.4,213.0,0.9,0,0,0,0,4.0
Juwan Johnson,NO,TE,164.0,164.0,142.8,110.7,6.5,142.5,8.4,0,0,0,0,0,0,0,0,87.6,63.5,637.0,2.7,0.6
Calvin Ridley,TEN,WR,167.0,167.0,143.7,120.5,7.1,143.6,8.4,0,0,0,0,0,6.1,32.0,0.2,88.2,46.2,721.6,3.6,0.4
Omar Cooper Jr.,NYJ,WR,170.2,170.2,104.9,84.4,5.0,104.2,6.1,0,0,0,0,0,2.2,12.0,0.1,58.4,39.7,477.9,2.6,0.4
Jalen McMillan,TB,WR,167.2,167.2,133.2,108.8,6.4,132.4,7.8,0,0,0,0,0,4.4,24.6,0.2,74.7,47.3,589.3,3.9,0.4
Tyler Allgeier,ARI,RB,169.4,169.4,91.4,82.0,4.8,91.0,5.4,0,0,0,0,0,97.4,385.1,3.3,22.9,18.1,125.9,0.4,0.2
Chris Rodriguez Jr.,JAX,RB,168.6,168.6,71.2,68.9,4.1,70.9,4.2,0,0,0,0,0,100.4,431.3,3.4,5.7,4.1,29.4,0.2,0.3
Sam Darnold,SEA,QB,163.0,163.0,242.6,240.5,14.1,240.5,14.1,512.7,335.1,4013.4,24.0,12.4,44.1,125.6,0.8,0,0,0,0,4.6
Denzel Boston,CLE,WR,166.8,166.8,131.7,105.1,6.2,130.9,7.7,0,0,0,0,0,0,0,0,82.8,51.6,638.1,2.8,0.5
C.J. Stroud,HOU,QB,165.8,165.8,245.8,242.6,14.3,242.6,14.3,551.0,351.2,3945.8,21.4,12.1,57.1,248.9,1.0,0,0,0,0,3.9
Brian Robinson Jr.,ATL,RB,166.7,166.7,94.1,89.3,5.3,93.6,5.5,0,0,0,0,0,134.6,561.2,3.7,10.9,8.7,59.1,0.3,0.5
Tyrone Tracy Jr.,NYG,RB,167.4,167.4,87.1,78.9,4.6,86.9,5.1,0,0,0,0,0,111.3,473.5,1.6,20.3,16.0,116.7,0.6,0.6
Tank Bigsby,PHI,RB,167.7,167.7,64.3,62.2,3.7,64.0,3.8,0,0,0,0,0,83.3,373.2,3.4,4.9,3.6,28.7,0.1,0.4
Tank Dell,HOU,WR,168.1,168.1,105.5,86.0,5.1,105.0,6.2,0,0,0,0,0,8.4,44.6,0.2,60.3,37.9,461.9,2.7,0.4
Brenton Strange,JAX,TE,167.5,167.5,142.3,112.4,6.6,141.9,8.3,0,0,0,0,0,0,0,0,85.1,59.0,598.0,4.0,0.4
Tre Tucker,LV,WR,168.2,168.2,137.7,112.0,6.6,136.1,8.0,0,0,0,0,0,10.5,57.7,0.3,81.3,48.2,656.5,2.5,0.3
Terrance Ferguson,LAR,TE,166.8,166.8,135.9,112.8,6.6,135.8,8.0,0,0,0,0,0,0,0,0,73.1,46.0,580.1,5.4,0.3
Malik Willis,MIA,QB,167.1,167.1,237.8,235.8,13.9,235.8,13.9,505.1,322.4,3554.2,13.0,10.4,105.6,545.2,3.4,0,0,0,0,6.2
Fernando Mendoza,LV,QB,166.9,166.9,187.4,185.1,10.9,185.1,10.9,447.8,283.4,3052.4,14.2,10.5,52.1,226.3,1.9,0,0,0,0,3.4
Dalton Schultz,HOU,TE,167.5,167.5,133.2,103.1,6.1,132.8,7.8,0,0,0,0,0,0,0,0,82.3,59.5,555.5,3.1,0.4
Cam Ward,TEN,QB,167.4,167.4,218.8,218.0,12.8,218.0,12.8,558.1,354.9,3753.4,16.4,10.3,46.6,200.4,2.0,0,0,0,0,4.7
Jauan Jennings,MIN,WR,170.1,170.1,114.6,91.0,5.4,114.2,6.7,0,0,0,0,0,0,0,0,71.9,46.5,486.3,3.3,0.5
De'Zhaun Stribling,SF,WR,169.5,169.5,110.1,91.6,5.4,109.7,6.5,0,0,0,0,0,0,0,0,58.6,36.1,543.3,3.3,0.4
Oronde Gadsden,LAC,TE,169.7,169.7,106.3,85.3,5.0,106.1,6.2,0,0,0,0,0,0,0,0,58.4,41.6,443.6,3.5,0.3
Germie Bernard,PIT,WR,170.4,170.4,126.9,102.8,6.0,126.4,7.4,0,0,0,0,0,2.1,11.7,0.1,79.3,47.1,593.6,3.2,0.5
Pat Freiermuth,PIT,TE,168.9,168.9,135.9,105.8,6.2,135.7,8.0,0,0,0,0,0,0,0,0,85.0,59.9,600.9,2.8,0.5
Chig Okonkwo,WSH,TE,168.8,168.8,121.3,95.3,5.6,120.9,7.1,0,0,0,0,0,0,0,0,72.2,51.3,560.7,2.3,0.3
Cooper Kupp,SEA,WR,168.8,168.8,101.5,82.4,4.8,101.3,6.0,0,0,0,0,0,0,0,0,57.2,37.9,471.7,2.8,0.3
Jalen Nailor,LV,WR,169.8,169.8,123.9,101.4,6.0,123.5,7.3,0,0,0,0,0,2.1,11.1,0.1,75.8,44.2,605.7,3.0,0.4
Bryce Young,CAR,QB,168.2,168.2,238.0,235.0,13.8,235.0,13.8,539.5,335.8,3641.8,20.3,12.1,57.8,272.5,2.1,0,0,0,0,4.0
Darnell Mooney,NYG,WR,170.6,170.6,88.1,73.0,4.3,87.9,5.2,0,0,0,0,0,2.2,11.9,0.1,55.7,29.7,432.4,2.3,0.3
Adonai Mitchell,NYJ,WR,169.5,169.5,125.4,103.8,6.1,124.5,7.3,0,0,0,0,0,2.2,11.2,0.1,74.3,41.5,610.8,3.5,0.5
Mike Washington Jr.,LV,RB,170.2,170.2,65.5,61.0,3.6,65.1,3.8,0,0,0,0,0,88.6,365.0,2.2,10.8,8.3,59.9,0.3,0.4
James Conner,ARI,RB,170.4,170.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Williams,WSH,WR,170.7,170.7,77.8,63.9,3.8,76.8,4.5,0,0,0,0,0,4.1,22.3,0.2,41.3,25.9,344.6,2.3,0.3
Keaton Mitchell,LAC,RB,170.6,170.6,64.1,57.5,3.4,63.5,3.7,0,0,0,0,0,62.4,293.7,1.8,15.9,12.0,92.6,0.5,0.3
Ray Davis,BUF,RB,170.7,170.7,38.1,32.0,1.9,35.9,2.1,0,0,0,0,0,32.3,137.8,1.1,10.2,7.8,60.0,0.4,0.2
Braelon Allen,NYJ,RB,170.6,170.6,76.4,69.3,4.1,75.6,4.4,0,0,0,0,0,82.5,347.6,2.9,15.9,12.7,89.5,0.4,0.4
Dylan Sampson,CLE,RB,170.9,170.9,86.6,70.9,4.2,85.7,5.0,0,0,0,0,0,54.5,227.5,1.0,36.2,29.6,206.6,1.2,0.4
AJ Barner,SEA,TE,168.7,168.7,113.8,91.1,5.4,113.5,6.7,0,0,0,0,0,9.2,18.0,0.5,60.5,44.7,432.7,3.6,0.5
Justice Hill,BAL,RB,170.8,170.8,114.2,94.2,5.5,114.0,6.7,0,0,0,0,0,48.8,223.2,1.4,51.3,39.5,348.6,1.7,0.4
Rashod Bateman,BAL,WR,170.8,170.8,122.5,103.4,6.1,122.2,7.2,0,0,0,0,0,0,0,0,65.3,37.7,613.9,4.0,0.3
Zachariah Branch,ATL,WR,170.1,170.1,100.9,79.4,4.7,98.6,5.8,0,0,0,0,0,0,0,0,60.2,38.3,471.3,2.3,0.4
Aaron Rodgers,PIT,QB,169.0,169.0,218.4,216.9,12.8,216.9,12.8,568.4,362.6,3767.7,20.1,11.1,28.1,99.5,0.9,0,0,0,0,3.5
Ja'Kobi Lane,BAL,WR,169.2,169.2,100.5,84.5,5.0,100.2,5.9,0,0,0,0,0,0,0,0,51.3,31.6,484.4,3.5,0.3
Isaac TeSlaa,DET,WR,170.3,170.3,72.9,60.9,3.6,72.7,4.3,0,0,0,0,0,0,0,0,37.6,23.7,301.0,3.2,0.2
Malik Washington,MIA,WR,170.1,170.1,105.9,82.4,4.8,102.9,6.1,0,0,0,0,0,12.9,77.5,0.4,60.4,41.0,432.1,1.6,0.5
David Njoku,LAC,TE,169.6,169.6,75.4,60.7,3.6,75.2,4.4,0,0,0,0,0,0,0,0,42.5,29.0,298.7,2.8,0.2
Gunnar Helm,TEN,TE,170.2,170.2,126.4,97.5,5.7,126.3,7.4,0,0,0,0,0,0,0,0,77.2,57.7,495.1,3.3,0.4
Chris Bell,MIA,WR,171.2,171.2,88.6,71.2,4.2,88.4,5.2,0,0,0,0,0,0,0,0,55.3,34.2,448.9,1.7,0.3
Jonah Coleman,DEN,RB,170.4,170.4,40.8,34.1,2.0,40.6,2.4,0,0,0,0,0,24.5,101.9,0.8,16.9,13.1,94.1,0.6,0.2
George Holani,SEA,RB,170.2,170.2,41.5,37.1,2.2,41.1,2.4,0,0,0,0,0,38.9,164.2,1.5,10.6,8.0,62.2,0.3,0.2
Jake Tonges,SF,TE,170.7,170.7,32.9,26.1,1.5,32.8,1.9,0,0,0,0,0,0,0,0,18.5,13.2,135.0,1.0,0.1
Odell Beckham Jr.,NYG,WR,169.1,169.1,32.4,26.1,1.5,32.3,1.9,0,0,0,0,0,0,0,0,20.3,12.4,152.1,0.8,0.1
Tre' Harris,LAC,WR,170.9,170.9,89.5,72.1,4.2,89.4,5.3,0,0,0,0,0,0,0,0,53.1,34.5,408.3,2.5,0.4
Greg Dulcich,MIA,TE,170.4,170.4,119.2,93.1,5.5,119.0,7.0,0,0,0,0,0,0,0,0,75.4,51.8,581.0,1.6,0.4
Ryan Flournoy,DAL,WR,170.2,170.2,89.5,72.4,4.3,89.3,5.3,0,0,0,0,0,2.2,12.4,0.1,50.9,33.9,383.8,2.7,0.4
Jordan James,SF,RB,170.7,170.7,61.1,56.8,3.3,60.9,3.6,0,0,0,0,0,75.2,321.2,2.1,10.5,8.2,63.0,0.3,0.3
Evan Engram,DEN,TE,170.3,170.3,106.4,82.5,4.9,106.2,6.2,0,0,0,0,0,0,0,0,67.8,47.3,463.5,2.2,0.3
Kayshon Boutte,NE,WR,170.6,170.6,77.6,63.9,3.8,77.4,4.6,0,0,0,0,0,0,0,0,41.5,26.9,366.4,2.4,0.2
Jacoby Brissett,ARI,QB,170.0,170.0,199.7,197.7,11.6,197.7,11.6,516.5,327.0,3359.1,15.0,9.2,47.2,210.3,1.3,0,0,0,0,3.7
MarShawn Lloyd,GB,RB,170.8,170.8,64.7,58.5,3.4,64.5,3.8,0,0,0,0,0,67.2,286.4,2.1,15.7,12.1,85.1,0.6,0.3
Geno Smith,NYJ,QB,170.3,170.3,231.9,226.6,13.3,226.6,13.3,530.6,361.1,3813.1,20.3,14.3,58.0,219.9,1.0,0,0,0,0,3.4
Shedeur Sanders,CLE,QB,169.2,169.2,96.5,95.3,5.6,95.3,5.6,232.1,146.9,1623.3,7.1,5.6,21.2,119.3,0.6,0,0,0,0,1.4
Cade Otton,TB,TE,170.4,170.4,102.3,79.6,4.7,101.9,6.0,0,0,0,0,0,0,0,0,64.0,44.6,440.8,2.3,0.3
Cyrus Allen,KC,WR,169.7,169.7,43.9,35.6,2.1,43.7,2.6,0,0,0,0,0,0,0,0,27.2,16.2,202.8,1.3,0.2
Xavier Legette,CAR,WR,170.9,170.9,112.1,90.8,5.3,111.7,6.6,0,0,0,0,0,2.1,10.8,0.1,73.1,41.7,500.5,3.2,0.4
Nicholas Singleton,TEN,RB,170.3,170.3,19.7,17.5,1.0,19.6,1.2,0,0,0,0,0,20.3,83.4,0.5,5.5,4.3,29.9,0.2,0.1
Jack Bech,LV,WR,171.4,171.4,82.7,65.2,3.8,82.5,4.9,0,0,0,0,0,0,0,0,54.2,34.5,397.8,1.5,0.4
Jaydon Blue,DAL,RB,170.1,170.1,46.8,42.1,2.5,46.5,2.7,0,0,0,0,0,48.7,205.0,1.5,11.3,8.8,61.8,0.4,0.2
Samaje Perine,CIN,RB,170.7,170.7,100.8,90.6,5.3,100.0,5.9,0,0,0,0,0,101.8,444.0,3.4,22.9,18.8,139.3,0.7,0.8
Mike Gesicki,CIN,TE,170.4,170.4,107.1,86.6,5.1,106.7,6.3,0,0,0,0,0,0,0,0,57.2,40.1,393.5,4.6,0.2
Kaelon Black,SF,RB,170.4,170.4,29.0,26.8,1.6,28.8,1.7,0,0,0,0,0,35.4,146.6,1.0,5.3,4.1,31.4,0.2,0.2
Emmett Johnson,KC,RB,170.1,170.1,46.3,42.0,2.5,46.2,2.7,0,0,0,0,0,49.4,205.3,1.6,10.9,8.4,59.2,0.4,0.2
Christian Kirk,SF,WR,170.6,170.6,46.5,38.2,2.2,46.3,2.7,0,0,0,0,0,0,0,0,27.0,16.2,220.0,1.4,0.2
Keon Coleman,BUF,WR,170.2,170.2,59.8,49.4,2.9,59.1,3.5,0,0,0,0,0,0,0,0,32.5,19.4,265.9,2.2,0.2
Tua Tagovailoa,ATL,QB,170.0,170.0,114.9,113.5,6.7,113.5,6.7,301.7,204.1,2170.9,10.4,7.9,15.9,43.9,0.3,0,0,0,0,2.5
Jaylin Noel,HOU,WR,171.4,171.4,76.3,59.8,3.5,74.2,4.4,0,0,0,0,0,4.2,22.2,0.1,43.9,28.8,322.6,1.8,0.3
Kimani Vidal,LAC,RB,170.4,170.4,38.7,34.7,2.0,38.6,2.3,0,0,0,0,0,37.4,153.0,1.2,10.6,7.8,62.7,0.4,0.2
Dontayvion Wicks,PHI,WR,170.6,170.6,65.6,53.3,3.1,65.5,3.9,0,0,0,0,0,0,0,0,39.3,24.3,310.0,1.8,0.3
Troy Franklin,DEN,WR,170.8,170.8,50.7,41.9,2.5,50.4,3.0,0,0,0,0,0,2.0,10.6,0.1,28.2,17.0,215.8,1.8,0.2
Darnell Washington,PIT,TE,169.5,169.5,72.3,56.6,3.3,72.1,4.2,0,0,0,0,0,0,0,0,45.3,31.0,304.2,1.9,0.3
Kirk Cousins,LV,QB,169.9,169.9,46.2,45.6,2.7,45.6,2.7,118.1,78.4,832.6,4.2,2.7,5.7,11.1,0.3,0,0,0,0,0.9
Colby Parkinson,LAR,TE,170.8,170.8,64.6,52.5,3.1,64.5,3.8,0,0,0,0,0,0,0,0,33.7,24.0,249.1,2.7,0.2
Tory Horton,SEA,WR,170.9,170.9,65.5,54.1,3.2,64.9,3.8,0,0,0,0,0,0,0,0,35.3,21.6,299.0,2.3,0.2
Pat Bryant,DEN,WR,171.0,171.0,72.7,58.2,3.4,72.4,4.3,0,0,0,0,0,0,0,0,45.2,28.4,319.6,2.1,0.3
Kaytron Allen,WSH,RB,170.4,170.4,15.7,13.6,0.8,15.7,0.9,0,0,0,0,0,12.2,50.7,0.4,5.2,4.1,29.4,0.2,0.1
Chimere Dike,TEN,WR,170.7,170.7,30.5,22.1,1.3,25.6,1.5,0,0,0,0,0,10.1,50.2,0.6,11.0,7.1,73.7,0.5,0.2
Darius Slayton,NYG,WR,170.2,170.2,80.1,65.7,3.9,79.9,4.7,0,0,0,0,0,2.2,12.3,0.1,45.6,28.5,394.2,1.8,0.3
Carson Beck,ARI,QB,169.6,169.6,28.9,28.6,1.7,28.6,1.7,66.3,40.8,448.4,2.5,1.5,6.6,29.2,0.3,0,0,0,0,0.5
Deshaun Watson,CLE,QB,170.0,170.0,124.2,122.7,7.2,122.7,7.2,311.2,191.5,2042.2,8.4,7.0,42.0,211.1,1.0,0,0,0,0,2.7
Eli Stowers,PHI,TE,169.9,169.9,37.6,30.4,1.8,37.5,2.2,0,0,0,0,0,4.6,19.9,0.2,19.7,14.3,142.9,1.0,0.1
Jaylen Wright,MIA,RB,170.3,170.3,43.3,39.3,2.3,43.0,2.5,0,0,0,0,0,55.8,233.1,1.1,10.1,7.5,56.0,0.2,0.5
Demond Claiborne,MIN,RB,170.3,170.3,24.0,21.6,1.3,23.9,1.4,0,0,0,0,0,26.3,110.1,0.8,5.5,4.5,29.4,0.2,0.1
J.J. McCarthy,MIN,QB,169.7,169.7,39.9,39.4,2.3,39.4,2.3,85.8,54.5,598.8,3.4,2.3,9.8,43.8,0.6,0,0,0,0,0.8
Devaughn Vele,NO,WR,170.8,170.8,60.8,48.0,2.8,60.6,3.6,0,0,0,0,0,0,0,0,38.3,25.2,257.7,1.7,0.2
Caleb Douglas,MIA,WR,170.3,170.3,80.4,64.6,3.8,80.2,4.7,0,0,0,0,0,0,0,0,50.3,31.2,405.9,1.5,0.3
