name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles_lost
Jerome Ford,WSH,RB,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrod Taylor,GB,QB,169.9,169.9,9.3,9.2,0.5,9.2,0.5,20.0,12.7,136.1,0.9,0.5,2.3,12.4,0.1,0,0,0,0,0.2
Devontez Walker,BAL,WR,169.9,169.9,26.2,21.8,1.3,26.2,1.5,0,0,0,0,0,0,0,0,14.0,8.7,124.0,0.9,0.1
Elijah Higgins,ARI,TE,169.9,169.9,43.0,32.5,1.9,42.9,2.5,0,0,0,0,0,0,0,0,28.6,20.9,182.2,0.7,0.2
Jawhar Jordan,HOU,RB,170.1,170.1,6.9,6.8,0.4,6.8,0.4,0,0,0,0,0,12.6,53.9,0.3,0,0,0,0,0.0
Efton Chism III,NE,WR,169.9,169.9,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Benson,LV,WR,170.0,170.0,15.8,12.6,0.7,15.8,0.9,0,0,0,0,0,0,0,0,10.8,6.4,79.3,0.3,0.1
Josh Oliver,MIN,TE,169.9,169.9,38.4,29.9,1.8,38.3,2.3,0,0,0,0,0,0,0,0,22.1,16.6,150.8,1.1,0.1
Austin Hooper,ATL,TE,170.0,170.0,43.4,33.1,1.9,43.3,2.5,0,0,0,0,0,0,0,0,27.4,20.5,181.0,0.8,0.1
Rasheen Ali,BAL,RB,170.0,170.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Horn Jr.,CAR,WR,169.9,169.9,21.5,18.1,1.1,21.4,1.3,0,0,0,0,0,6.2,36.8,0.2,10.4,6.6,76.6,0.4,0.1
Tai Felton,MIN,WR,170.0,170.0,9.0,6.9,0.4,8.8,0.5,0,0,0,0,0,0,0,0,5.5,3.7,37.1,0.2,0.0
Xavier Hutchinson,HOU,WR,169.9,169.9,33.6,27.3,1.6,33.5,2.0,0,0,0,0,0,2.1,12.4,0.1,21.9,12.5,152.1,0.7,0.1
Greg Dortch,DET,WR,170.0,170.0,16.0,12.1,0.7,14.1,0.8,0,0,0,0,0,4.6,24.0,0.4,5.4,4.1,39.7,0.3,0.1
Brock Wright,DET,TE,169.9,169.9,18.6,14.7,0.9,18.6,1.1,0,0,0,0,0,0,0,0,10.7,7.7,72.2,0.6,0.0
Colbie Young,CIN,WR,169.9,169.9,9.8,8.0,0.5,9.7,0.6,0,0,0,0,0,0,0,0,5.7,3.5,43.2,0.3,0.0
Kenny Pickett,CAR,QB,169.9,169.9,9.1,9.0,0.5,9.0,0.5,22.6,14.1,153.7,0.9,0.5,1.3,3.7,0.0,0,0,0,0,0.2
Sam Roush,CHI,TE,169.9,169.9,8.7,6.8,0.4,8.7,0.5,0,0,0,0,0,0,0,0,5.1,3.6,33.8,0.3,0.0
Van Jefferson,WSH,WR,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konata Mumpfield,LAR,WR,169.9,169.9,29.3,24.3,1.4,29.2,1.7,0,0,0,0,0,0,0,0,16.9,9.9,126.7,1.1,0.1
Mason Rudolph,PIT,QB,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riley Leonard,IND,QB,170.0,170.0,9.4,9.2,0.5,9.2,0.5,22.7,14.6,158.1,0.8,0.5,1.2,5.4,0.1,0,0,0,0,0.2
Drew Lock,SEA,QB,169.9,169.9,8.0,7.9,0.5,7.9,0.5,21.2,12.9,134.3,0.8,0.6,1.2,5.2,0.0,0,0,0,0,0.2
Spencer Rattler,NO,QB,170.0,170.0,8.9,8.8,0.5,8.8,0.5,22.9,14.9,153.6,0.8,0.5,1.3,7.1,0.0,0,0,0,0,0.2
Ben Sinnott,WSH,TE,170.0,170.0,26.6,21.0,1.2,26.5,1.6,0,0,0,0,0,0,0,0,15.5,11.1,106.8,0.8,0.1
Bo Melton,GB,WR,169.9,169.9,11.7,10.1,0.6,11.5,0.7,0,0,0,0,0,4.5,26.0,0.1,5.2,2.9,37.5,0.3,0.1
Tanner McKee,PHI,QB,169.9,169.9,9.5,9.4,0.6,9.4,0.6,21.6,13.7,153.1,1.0,0.5,1.0,3.7,0.0,0,0,0,0,0.1
Patrick Ricard,NYG,RB,170.0,170.0,7.4,5.4,0.3,7.4,0.4,0,0,0,0,0,0,0,0,5.1,3.9,26.9,0.1,0.0
Xavier Smith,LAR,WR,169.9,169.9,11.6,8.1,0.5,9.9,0.6,0,0,0,0,0,0,0,0,5.6,3.6,44.4,0.3,0.0
Demarcus Robinson,SF,WR,170.0,170.0,9.5,7.8,0.5,9.5,0.6,0,0,0,0,0,0,0,0,5.3,3.3,44.1,0.3,0.0
Will Kacmarek,MIA,TE,170.0,170.0,39.9,30.8,1.8,39.9,2.3,0,0,0,0,0,0,0,0,25.1,18.1,174.6,0.8,0.1
Mitchell Tinsley,CIN,WR,169.9,169.9,19.6,16.2,1.0,19.5,1.1,0,0,0,0,0,0,0,0,11.4,6.6,84.1,0.8,0.1
Skyy Moore,GB,WR,170.0,170.0,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Allen,BUF,QB,169.9,169.9,8.0,7.9,0.5,7.9,0.5,22.0,13.2,138.0,0.9,0.7,1.1,2.9,0.0,0,0,0,0,0.2
Dylan Laube,LV,RB,170.1,170.1,0.7,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riley Nowakowski,PIT,RB,170.0,170.0,8.1,5.9,0.3,8.1,0.5,0,0,0,0,0,0,0,0,5.7,4.3,29.1,0.2,0.0
Jarrett Stidham,DEN,QB,170.0,170.0,10.4,10.3,0.6,10.3,0.6,22.2,13.8,161.4,1.1,0.6,1.6,6.8,0.0,0,0,0,0,0.2
Drew Sample,CIN,TE,170.0,170.0,38.7,29.9,1.8,38.6,2.3,0,0,0,0,0,0,0,0,22.9,17.3,146.3,1.2,0.1
Adam Trautman,DEN,TE,170.0,170.0,28.8,22.8,1.3,28.6,1.7,0,0,0,0,0,0,0,0,16.9,11.7,113.0,1.0,0.1
