name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,fumbles_lost
TreVeyon Henderson,NE,RB,41.3,47.8,179.5,162.0,9.5,179.5,10.6,0,0,0,0,0,179.0,785.0,6.0,35.0,260.0,1.0,1.0
DeVonta Smith,PHI,WR,41.4,44.9,218.1,179.1,10.5,218.1,12.8,0,0,0,0,0,1.0,6.0,0,78.0,1035.0,6.0,0
Colston Loveland,CHI,TE,42.1,41.2,206.9,166.9,9.8,206.9,12.2,0,0,0,0,0,1.0,4.0,0,80.0,905.0,6.0,0
Cam Skattebo,NYG,RB,44.4,48.7,202.7,181.7,10.7,202.7,11.9,0,0,0,0,0,216.0,902.0,6.0,42.0,305.0,1.0,1.0
Luther Burden,CHI,WR,44.9,41.1,202.7,166.7,9.8,202.7,11.9,0,0,0,0,0,10.0,61.0,0,72.0,886.0,6.0,0
Jaylen Waddle,DEN,WR,45.5,46.2,198.7,163.7,9.6,198.7,11.7,0,0,0,0,0,3.0,16.0,0,70.0,911.0,6.0,0
Zay Flowers,BAL,WR,46.8,43.8,228.2,187.7,11.0,228.2,13.4,0,0,0,0,0,5.0,29.0,0,81.0,1103.0,6.0,1.0
Emeka Egbuka,TB,WR,48.0,45.8,220.0,182.5,10.7,220.0,12.9,0,0,0,0,0,3.0,21.0,0,75.0,1009.0,7.0,0
Quinshon Judkins,CLE,RB,49.6,55.0,196.7,180.7,10.6,196.7,11.6,0,0,0,0,0,244.0,1019.0,6.0,32.0,228.0,1.0,1.0
Tyler Warren,IND,TE,51.2,50.1,194.7,154.7,9.1,194.7,11.5,0,0,0,0,0,5.0,18.0,0,80.0,829.0,5.0,0
Jameson Williams,DET,WR,52.2,51.6,206.2,176.2,10.4,206.2,12.1,0,0,0,0,0,8.0,44.0,0,60.0,998.0,7.0,0
David Montgomery,HOU,RB,53.5,56.3,196.4,180.4,10.6,196.4,11.6,0,0,0,0,0,227.0,948.0,7.0,32.0,236.0,1.0,1.0
Drake Maye,NE,QB,54.0,51.2,320.8,307.8,18.1,307.8,18.1,500.0,342.0,3854.0,29.0,11.0,85.0,416.0,4.0,0,0,0,3.0
Bhayshul Tuten,JAX,RB,54.1,60.4,174.8,158.8,9.3,174.8,10.3,0,0,0,0,0,184.0,794.0,6.0,32.0,234.0,1.0,1.0
Davante Adams,LAR,WR,55.0,46.9,188.2,155.7,9.2,186.2,11.0,0,0,0,0,0,0,0,0,61.0,772.0,8.0,0
